"Date","Price","Open","High","Low","Vol.","Change %"
"22-07-2025","23,320.90","23,449.75","23,456.00","23,306.40","2.03B","-0.25%"
"21-07-2025","23,378.45","23,296.75","23,394.50","23,184.90","1.76B","0.44%"
"18-07-2025","23,275.15","23,430.00","23,449.45","23,240.85","1.97B","-0.62%"
"17-07-2025","23,419.70","23,507.65","23,514.70","23,409.05","2.20B","-0.22%"
"16-07-2025","23,472.50","23,458.90","23,502.90","23,403.50","2.86B","0.10%"
"15-07-2025","23,449.15","23,334.55","23,469.45","23,332.80","2.71B","0.60%"
"14-07-2025","23,309.05","23,290.15","23,329.20","23,200.10","4.00B","0.11%"
"11-07-2025","23,282.70","23,408.80","23,462.35","23,256.30","2.23B","-0.80%"
"10-07-2025","23,471.40","23,595.85","23,605.50","23,444.95","2.02B","-0.37%"
"09-07-2025","23,557.45","23,576.45","23,613.90","23,513.85","2.35B","-0.06%"
"08-07-2025","23,572.55","23,540.60","23,600.35","23,469.95","2.93B","0.09%"
"07-07-2025","23,551.20","23,561.60","23,595.30","23,506.50","2.42B","-0.05%"
"04-07-2025","23,562.45","23,553.45","23,570.90","23,448.90","1.88B","0.17%"
"03-07-2025","23,521.85","23,591.80","23,647.10","23,503.55","2.36B","-0.11%"
"02-07-2025","23,547.25","23,653.05","23,669.30","23,463.85","2.62B","-0.29%"
"01-07-2025","23,615.45","23,659.75","23,669.95","23,558.90","2.56B","-0.01%"
"30-06-2025","23,617.20","23,672.35","23,677.55","23,563.00","2.46B","-0.01%"
"27-06-2025","23,620.15","23,566.70","23,644.35","23,538.55","3.42B","0.44%"
"26-06-2025","23,517.55","23,341.20","23,529.65","23,319.85","2.92B","0.95%"
"25-06-2025","23,296.85","23,216.15","23,303.65","23,190.85","3.04B","0.79%"
"24-06-2025","23,113.20","23,212.30","23,307.95","23,074.25","3.10B","0.49%"
"23-06-2025","23,001.50","22,880.35","23,063.35","22,837.80","2.08B","-0.17%"
"20-06-2025","23,041.10","22,760.65","23,064.70","22,760.60","3.24B","1.22%"
"19-06-2025","22,763.50","22,921.60","22,973.15","22,712.55","2.39B","-0.71%"
"18-06-2025","22,925.20","22,937.75","23,066.85","22,868.35","1.95B","-0.24%"
